room_id_name,room_id_difficulty,room_id_tools,room_id_description,room_id_practical_applicability,room_id_lessons_learnt,room_id_user_opinions
Advent of Cyber 2022,easy,['Various tools per daily challenge'],- **TryHackMe Bookstore** challenge involves initial web service discovery using **nmap** and **gobuster** for hidden endpoints,Progressive cybersecurity training from beginner to intermediate concepts,"['Security frameworks (NIST', 'MITRE)', 'log analysis', 'OSINT techniques', 'scanning methodologies', 'IoT hacking', 'cyber defense']","Praised for well-structured content, featured popular content creators, significant prize pool made it engaging"
Advent of Cyber 2023,easy,['Variety of tools across challenges'],- **TryHackMe Bounty Hacker** requires initial service discovery via **nmap** to locate anonymous access **FTP**; enumeration focuses on identifying vulnerable version strings or misconfigurations leading to credential harvesting,"Current threat landscape education, modern attack techniques, defensive security","['Modern web exploitation', 'cloud security', 'AI threats', 'blue team operations', 'threat hunting basics']","Highly rated for updated content reflecting current threats, excellent video walkthroughs, engaging narrative"
Advent of Cyber 2024,easy,['Modern security tools and platforms'],- **TryHackMe Brim** room focuses heavily on **Network Security Monitoring (NSM)** using provided PCAP data; analysis employs **Wireshark** for deep packet inspection,Cutting-edge security education with AI-guided learning and advanced endpoint investigation,"['AI-assisted problem solving', 'advanced forensics', 'endpoint investigations', 'modern attack chains']","Early feedback positive for Echo AI assistant, advanced forensics path noted as comprehensive"
Advent of Cyber 3 (2021),easy,"['Nmap', 'Gobuster', 'various exploitation tools']",- **TryHackMe Burp Suite: The Basics** room demystifies fundamental **proxy usage** by configuring the browser to route traffic through Burp Listener,Comprehensive cyber fundamentals with practical daily challenges,"['Web vulnerabilities', 'network analysis', 'OSINT methods', 'cloud security basics', 'PowerShell', 'post-exploitation']","Well-received for balanced offensive/defensive content, 30,000+ participants, good learning progression"
Adventure Time,hard,"['Nmap', 'Gobuster', 'Steghide', 'various cryptography tools']",- **TryHackMe Cactus** room focuses on exploiting insecure **Docker configurations** identified via initial **nmap** scans on exposed ports,Pure CTF experience with encoding challenges and non-standard techniques,"['Cryptography (Base32', 'ROT13', 'Morse', 'AES', 'Vigenère)', 'steganography', 'creative enumeration', 'privilege escalation']","Criticized for unrealistic enumeration (guessing directories), praised for being entertaining and challenging"
Agent Sudo,easy,"['Nmap', 'Hydra', 'John the Ripper', 'Steghide', 'Binwalk']",- **TryHackMe Calculated** room necessitates advanced **mathematical decryption** of obfuscated flag segments,Introduction to multiple hacking techniques in entertaining themed environment,"['User-agent manipulation', 'FTP brute forcing', 'steganography extraction', 'sudo CVE-2019-14287 exploitation']","Extremely popular beginner room, well-balanced difficulty, teaches multiple useful techniques"
Agent T,easy,"['Web browser', 'basic enumeration tools']",- **TryHackMe Carnage** room guides network forensics involving in-depth **packet analysis** of captured traffic; methodology requires deep inspection within **Wireshark** to identify command-and-control beaconing,"Basic web reconnaissance skills, understanding HTTP headers","['HTTP header analysis', 'web server identification', 'basic enumeration']","Praised as good quick introduction, perfect for complete beginners"
AI Forensics,medium,"['AI analysis tools', 'log analysis', 'forensics tools']",- **TryHackMe Cat Pictures** room utilizes **port knocking** sequence discovery via subtle environmental clues; technique mandates careful observation,"Emerging AI security domain, analyzing AI system compromises","['AI system forensics', 'analyzing ML model logs', 'AI attack pattern recognition', 'emerging threat analysis']","Valued for addressing modern AI security concerns, relevant to current industry trends"
AI/ML Security Threats,medium,"['AI/ML testing tools', 'adversarial attack frameworks']",- **TryHackMe CyberDefenders PacketMaze** room demands meticulous **packet analysis** using **Wireshark** to reconstruct command-and-control (C2) traffic obfuscated within standard protocols; enhancement methodology requires scripting in **Python** with Scapy to filter and parse custom TCP streams,"AI/ML security fundamentals, adversarial attacks, model poisoning","['Adversarial ML attacks', 'model poisoning', 'data poisoning', 'AI system vulnerabilities', 'ML security basics']","Appreciated for addressing critical emerging security domain, practical examples of AI attacks"
Airplane,medium,"['Nmap', 'Python', 'Metasploit', 'GDB exploitation tools']",- **TryHackMe Disgruntled** room focuses on **insider threat detection** via post-compromise forensic analysis; enhancement methodology dictates rigorous timeline reconstruction using volatility plugins for process dumping and memory analysis,"Non-standard exploitation techniques, creative problem-solving, GDB exploitation","['Local file inclusion (LFI)', 'GDB server exploitation', 'process enumeration', 'creative reconnaissance']","Praised for unique approach, some found initial access frustrating, excellent learning experience overall"
Alfred,easy,"['Nmap', 'Metasploit', 'Meterpreter', 'Netcat', 'Jenkins exploitation']",- **TryHackMe DDoS** room focuses on distinguishing **volumetric attacks** (UDP/ICMP floods) from **application-layer attacks** (HTTP floods); **reconnaissance** involves identifying service versions via **nmap** to tailor countermeasures like rate-limiting or SYN cookies,"Jenkins exploitation, Windows privilege escalation, token impersonation techniques","['Jenkins exploitation via build configuration', 'Meterpreter shells', 'Windows token impersonation', 'process migration']","Highly regarded for teaching Windows-specific privilege escalation, multiple shell method comparisons helpful"
All in One,medium,"['Nmap', 'Gobuster', 'Burp Suite', 'privilege escalation tools']",- **TryHackMe Debug** room utilizes dynamic analysis with GDB/Pwntools to trace program execution flow,"Comprehensive penetration testing skills, multiple exploitation paths","['Web enumeration', 'multiple exploitation vectors', 'Linux privilege escalation', 'thorough enumeration practice']","Appreciated for covering multiple attack vectors in single machine, good comprehensive practice"
AllSignsPoint2Pwnage,medium,['Various enumeration and exploitation tools'],- **TryHackMe Defender Intro** room details Windows Defender's Security Intelligence integration,"Advanced enumeration, identifying multiple attack surfaces","['Multiple exploitation paths', 'creative problem-solving', 'thorough reconnaissance']",Valued for teaching importance of thorough enumeration and having backup attack vectors
Analysing Volatile Memory,medium,"['Volatility Framework', 'memory forensics tools']",- **TryHackMe Defensive Security** room details foundational Blue Team methodologies including log aggregation via SIEM platforms,"Digital forensics, incident response, memory analysis fundamentals","['Volatility usage', 'process analysis', 'network connections in memory', 'malware identification in RAM']","Highly valued for teaching essential DFIR skill, practical approach to memory forensics"
Android Analysis,easy,"['FTK Imager', 'ALEAPP', 'sqlite3', 'Android forensics tools']",- **Extending Your Network** room tasks involve subnetting calculations (VLSM/FLSM) to allocate IP ranges for new network segments,"Mobile device forensics, Android investigation techniques, extracting evidence from mobile devices","['Android filesystem structure', 'SQLite database analysis', 'SMS/call log extraction', 'app artifact analysis', 'ALEAPP usage']","Praised for thorough coverage of Android forensics fundamentals, excellent artifact location reference"
Android Hacking 101,medium,"['ADB', 'APKTool', 'Jadx', 'Frida', 'mobile pentesting tools']",- **Analyzed** raw disk images within the FAT32 environment using **FTK Imager** to map the **Boot Sector** and **FAT Tables**,"Mobile app security, Android exploitation, app reverse engineering basics","['APK analysis', 'Android debugging', 'reverse engineering apps', 'hooking with Frida', 'mobile exploitation basics']","Good introduction to mobile pentesting, some users want more advanced content"
Android Malware Analysis,hard,"['Jadx', 'APKTool', 'static/dynamic analysis tools', 'sandbox']",- **Executed** intensive **ffuf** fuzzing campaigns targeting `/admin` endpoints using large wordlists loaded via `-w` and employing payload modification flags like `-x` for extension brute-forcing,"Mobile malware research, advanced reverse engineering, behavioral analysis","['Static malware analysis', 'dynamic analysis in sandbox', 'Android malware families', 'evasion techniques', 'C2 communication']","Highly regarded by malware analysts, comprehensive coverage of Android malware analysis techniques"
Annie,medium,['Standard CTF enumeration and exploitation tools'],- **Fixit** scenario demands **system administration** proficiency; initial **reconnaissance** may involve **nmap** scans to identify running services,General penetration testing skills practice,"['Web exploitation', 'enumeration techniques', 'Linux privilege escalation']",Considered solid practice but not particularly unique or memorable
Anonforce,easy,"['Nmap', 'FTP tools', 'John the Ripper', 'gpg']",- **Flip** room walkthrough emphasizes **creative problem-solving** beyond standard web enumeration; successful flag acquisition requires **reversing techniques** applied to obfuscated source code or binary artifacts identified after initial **reconnaissance** (perhaps utilizing **theHarvester** for exposed credentials or subdomains),"Basic enumeration, hash cracking, file analysis","['FTP enumeration', 'hash identification', 'John the Ripper usage', 'GPG key cracking']",Good beginner introduction to enumeration and password cracking
Anonymous,medium,"['Nmap', 'FTP', 'SMB enumeration', 'privilege escalation tools']",- **Follina (CVE-2022-30190)** room guide details crafting malicious MSDT payloads leveraging **Office exploitation** via crafted document templates referencing remote resources that trigger the **zero-day understanding** of the Windows Support Diagnostic Tool (MSDT) vulnerability,"Anonymous service exploitation, Linux privilege escalation via PATH","['Anonymous FTP exploitation', 'script analysis', 'PATH hijacking', 'Linux privilege escalation']",Appreciated for teaching PATH-based privilege escalation and thorough enumeration
Anonymous Playground,easy,['Basic web and system tools'],- **For Business Reasons** room guide emphasizes **business logic vulnerabilities** exploitation within poorly secured corporate applications,Testing ground for techniques,['Various basic techniques depending on usage'],Useful as practice environment
Anthem,easy,"['Nmap', 'RDP', 'basic Windows tools']",- **Forgotten Implant** room analysis focuses on identifying **persistence mechanisms** like suspicious service entries or scheduled tasks; advanced **C2 analysis** requires capturing and decoding network traffic,"Windows basics, desktop security","['Windows enumeration', 'hidden file discovery', 'RDP usage', 'basic Windows privilege escalation']","Good introduction to Windows CTFs, accessible for beginners"
Anti-Reverse Engineering,hard,"['IDA Pro', 'x64dbg', 'anti-debugging techniques', 'packers']",- **Fowsniff** CTF requires methodical **OSINT reconnaissance** utilizing `theHarvester` and specialized social media scrapers to map target digital footprints,"Understanding malware protection mechanisms, defeating anti-RE techniques","['Anti-debugging detection', 'anti-VM techniques', 'packing/obfuscation', 'code virtualization', 'defeating protections']","Highly valued by RE specialists, challenging but essential for malware analysis"
APIWizards Breach,medium,"['Burp Suite', 'API testing tools', 'Postman']",- **Frank & Herby make an app** room demands initial service discovery via **nmap** followed by aggressive directory brute-forcing using **gobuster** to pinpoint vulnerable application endpoints,"API security assessment, testing RESTful services","['API enumeration', 'authentication bypass', 'parameter manipulation', 'API fuzzing', 'rate limiting bypass']",Appreciated for focusing on increasingly important API security domain
APT28 in the Snare,medium,"['SIEM tools', 'log analysis', 'threat intelligence']",- **Frank and Herby try again.....** escalation mandates thorough **theHarvester** intelligence gathering preceding comprehensive port scanning with **nmap** targeting non-standard ports,"Threat hunting, APT detection, log analysis for advanced threats","['APT tactics identification', 'log correlation', 'IOC analysis', 'threat intelligence application']",Highly valued for realistic threat hunting scenario based on actual APT group
APT28 Inception Theory,hard,"['Advanced SIEM', 'forensics tools', 'threat intelligence platforms']",- **Frosteau Busy with Vim** walkthrough focuses on leveraging vulnerable Vim editor configurations,"Advanced threat hunting, complex attack chain analysis, threat intelligence","['Multi-stage attack analysis', 'advanced persistence detection', 'lateral movement tracking', 'threat actor attribution']","Praised for realistic advanced threat hunting, excellent for SOC/IR professionals"
Aratus,medium,['Standard pentesting toolkit'],- **Gallery** room exploitation focuses on input validation flaws; **reconnaissance** identifies the web application entry points,General pentesting practice,"['Web exploitation', 'system enumeration', 'privilege escalation']",Solid practice machine without standout features
Archangel,medium,"['Burp Suite', 'LFI tools', 'privilege escalation tools']",- **Getting Started** room mechanics involve navigating the THM web interface,"LFI exploitation, creative privilege escalation","['Local file inclusion', 'log poisoning', 'creative cron job exploitation']",Appreciated for interesting privilege escalation path
Aster,easy,['Basic enumeration tools'],- **CVE-2021-22205** exploitation requires initial **reconnaissance** to confirm GitLab installation version; the technique focuses on crafting malicious serialized payloads targeting the **ImageTragick** component vulnerability,Basic CTF skills,"['Basic enumeration', 'simple exploitation', 'Linux fundamentals']",Good for complete beginners but limited complexity
Athena,medium,"['Web exploitation tools', 'privilege escalation toolkit']",- **TryHackMe Gotta Catch'em All** room guides beginners through **basic Linux exploitation** fundamentals,Comprehensive pentesting practice,"['Web application vulnerabilities', 'system exploitation', 'Linux privilege escalation']",Solid all-around practice machine
Atlas,medium,"['Nmap', 'Metasploit', 'ThinVNC exploitation tools', 'PowerShell']",- **TryHackMe Hack Back** methodology emphasizes creative **reverse exploitation** bypassing typical **nmap** service detection limitations by crafting custom payload stagers delivered via **gobuster** identified hidden paths,"Windows exploitation, vulnerability chaining, understanding PrintNightmare exploitation","['ThinVNC exploitation', 'PrintNightmare CVE-2021-1675', 'Windows privilege escalation', 'exploit development basics']","Appreciated for covering PrintNightmare, some found initial enumeration challenging but rewarding"
Atlassian CVE-2022-26134,medium,"['Burp Suite', 'curl', 'OGNL payload crafting tools']",- **TryHackMe Hacker vs. Hacker** scenario mandates rapid **nmap** aggressive scan deployment against the opponent's exposed services,"Understanding real-world critical vulnerabilities, OGNL injection attacks, enterprise application security","['OGNL injection exploitation', 'CVE-2022-26134 mechanics', 'unauthenticated RCE', 'Confluence security', 'detection and patching']","Highly valued for covering actively exploited CVE, practical enterprise vulnerability demonstration"
Atomic Bird Goes Purple #1,medium,"['Atomic Red Team', 'SIEM', 'log analysis tools', 'custom tests']",- **TryHackMe Hacking with PowerShell** emphasizes leveraging built-in cmdlets like `Get-NetAdapter` and `Invoke-WebRequest` for stealthy enumeration and data exfiltration post-initial access,"Threat emulation, detection engineering, creating custom attack simulations","['Custom atomic tests', 'threat emulation methodology', 'log analysis for detection', 'purple team collaboration']","Praised for practical purple team approach, excellent follow-up to Atomic Red Team room"
Atomic Bird Goes Purple #2,medium,"['Atomic Red Team', 'Sysmon', 'Windows Event Logs', 'detection rules']",- **TryHackMe HTTP Request Smuggling** scenario requires precise crafting of ambiguous HTTP requests leveraging inconsistencies between front-end proxy and back-end server interpretation of `Content-Length` versus `Transfer-Encoding: chunked` headers for **Exploitation**; **Burp Suite Intruder** facilitates rapid payload testing targeting specific delimiters,"Advanced detection engineering, custom rule development, threat hunting","['Advanced atomic testing', 'Sysmon rule creation', 'custom detection logic', 'threat emulation analysis']","Excellent progression from Part 1, teaches practical detection engineering skills"
Atomic Red Team,medium,"['Atomic Red Team framework', 'PowerShell', 'Invoke-AtomicTest cmdlets']",- **TryHackMe Insecure Deserialization** room guides emphasize initial **reconnaissance** targeting application entry points,"Threat emulation fundamentals, testing defensive controls, MITRE ATT&CK practical application","['Atomic Red Team framework usage', 'MITRE ATT&CK mapping', 'threat simulation', 'detection testing']","Highly regarded as essential for SOC/blue team, practical approach to testing defenses"
AttackerKB,easy,"['Nmap', 'Metasploit', 'AttackerKB platform', 'Webmin exploitation']",- **TryHackMe Insecure Randomness** room exploration involves rigorous **enumeration** of application outputs,"Vulnerability intelligence, exploit assessment, leveraging community knowledge for pentesting","['AttackerKB platform usage', 'vulnerability assessment methodology', 'Webmin CVE-2019-15107 exploitation', 'exploit rating']","Valued for introducing useful vulnerability intelligence platform, straightforward exploitation challenge"
Attacking ECB Oracles,hard,"['Python scripting', 'cryptography tools', 'custom exploitation scripts']",- **TryHackMe Intro PoC Scripting** involves crafting foundational Python scripts to automate vulnerability checks identified during initial service enumeration (`nmap` output parsing),"Cryptographic vulnerabilities, ECB mode exploitation, block cipher attacks, chosen plaintext attacks","['ECB cipher weaknesses', 'chosen plaintext attack (CPA)', 'block cipher exploitation', 'cryptographic oracle attacks', 'Python scripting']","Challenging but rewarding, excellent for understanding real cryptographic vulnerabilities"
Attacking ICS Plant #1,medium,"['Python', 'pymodbus library', 'Modbus protocol tools', 'ICS simulation']",- **TryHackMe Intro to Cyber Threat Intel** emphasizes tactical intelligence collection focusing on Indicators of Compromise ($\text{IOCs}$) like malicious file hashes ($\text{MD5/SHA256}$) and Command and Control ($\text{C2}$) IP addresses; practical steps involve leveraging open-source intelligence ($\text{OSINT}$) feeds such as $\text{MISP}$ or $\text{AlienVault OTX}$ and parsing $\text{STIX/TAXII}$ data streams for automated enrichment of security monitoring tools. (66 words; tools: *MISP,"ICS/OT security fundamentals, Modbus protocol exploitation, industrial automation vulnerabilities","['Modbus protocol basics', 'ICS plant discovery', 'holding register manipulation', 'OT attack methodologies', 'industrial system vulnerabilities']","Highly valuable for OT/ICS professionals, practical hands-on ICS security experience"
Attacking ICS Plant #2,medium,"['Python', 'pymodbus', 'Modbus tools', 'oil processing plant simulation']",- **TryHackMe Haskhell** exploitation involves meticulous $\text{nmap}$ service enumeration ($\text{http/https}$ default ports),"Advanced ICS exploitation, multi-system attacks, understanding industrial safety systems","['Complex ICS attacks', 'oil processing system exploitation', 'multiple PLC manipulation', 'safety system bypass']","Excellent progression from Plant #1, realistic industrial scenario complexity"
Attacking Kerberos,medium,"['Rubeus', 'Impacket', 'Kerberoasting tools', 'ASREPRoast tools', 'Mimikatz']",- **TryHackMe Heartbleed** exploitation targets $\text{CVE-2014-0160}$ in vulnerable OpenSSL versions; initial $\text{nmap}$ scripting (`ssl-heartbleed`) verifies susceptibility; successful exploitation extracts private keys and memory contents via crafted $\text{TLS}$ Heartbeat requests,"Advanced Active Directory attacks, Kerberos protocol exploitation, domain credential theft","['Kerberos protocol understanding', 'AS-REP roasting', 'Kerberoasting', 'ticket manipulation', 'Golden/Silver ticket attacks']","Essential for AD pentesting, comprehensive coverage of Kerberos attack techniques"
Attacking LLMs,medium,"['LLM testing tools', 'prompt injection frameworks', 'AI security tools']",- **TryHackMe Hex** room guides users through $\text{ASCII}$ to hexadecimal conversion and vice-versa,"Emerging AI security domain, LLM vulnerabilities, prompt injection techniques","['Prompt injection attacks', 'LLM jailbreaking', 'indirect prompt injection', 'data exfiltration from LLMs', 'AI security']","Timely and relevant for current AI security landscape, practical LLM attack demonstrations"
Attack Surface Reduction,easy,"['Windows Defender ASR', 'Group Policy', 'PowerShell']",- **TryHackMe HiddenInPlainSight** room focuses on introductory steganography,"Windows hardening, reducing attack surface, defensive security configuration","['ASR rules configuration', 'Windows Defender capabilities', 'attack surface analysis', 'security hardening best practices']","Useful for Windows defenders, practical hardening techniques"
